,nmea,time,valid,lat,lat_direction,lon,lon_direction,speed,date,temp,Humidity
0,$GPRMC,105527.0,A,2240.7781,N,7552.9675,E,0.0,196.87,42.0,88.0
1,$GPRMC,110552.0,A,2240.7779,N,7552.9756,E,0.15,196.87,42.0,88.0
2,$GPRMC,110553.0,A,2240.7778,N,7552.9756,E,0.24,196.87,42.0,88.0
3,$GPRMC,110554.0,A,2240.7778,N,7552.9756,E,0.3,196.87,42.0,88.0
4,$GPRMC,110555.0,A,2240.7777,N,7552.9754,E,0.25,196.87,42.0,88.0
5,$GPRMC,110556.0,A,2240.7776,N,7552.9754,E,0.19,196.87,42.0,88.0
6,$GPRMC,110557.0,A,2240.7776,N,7552.9754,E,0.05,196.87,42.0,88.0
7,$GPRMC,110812.0,A,2240.7795,N,7552.9693,E,0.19,196.87,42.0,88.0
8,$GPRMC,110813.0,A,2240.7795,N,7552.9691,E,0.14,196.87,42.0,88.0
9,$GPRMC,110814.0,A,2240.7795,N,7552.969,E,0.23,196.87,42.0,88.0
10,$GPRMC,110923.0,A,2240.7786,N,7552.9748,E,0.09,196.87,42.0,88.0
11,$GPRMC,110924.0,A,2240.7786,N,7552.975,E,0.38,196.87,42.0,88.0
12,$GPRMC,111012.0,A,2240.7767,N,7552.9714,E,0.36,196.87,42.0,88.0
13,$GPRMC,111013.0,A,2240.7768,N,7552.9715,E,0.52,196.87,42.0,88.0
14,$GPRMC,111014.0,A,2240.7769,N,7552.9716,E,0.06,196.87,42.0,88.0
15,$GPRMC,111015.0,A,2240.777,N,7552.9715,E,0.03,196.87,42.0,88.0
16,$GPRMC,111016.0,A,2240.7771,N,7552.9715,E,0.27,196.87,42.0,88.0
17,$GPRMC,111017.0,A,2240.7772,N,7552.9716,E,0.2,196.87,42.0,88.0
18,$GPRMC,111018.0,A,2240.7772,N,7552.9715,E,0.21,196.87,42.0,88.0
19,$GPRMC,111019.0,A,2240.7772,N,7552.9715,E,0.25,196.87,42.0,88.0
20,$GPRMC,111020.0,A,2240.7772,N,7552.9715,E,0.09,196.87,42.0,88.0
21,$GPRMC,111021.0,A,2240.7772,N,7552.9714,E,0.11,196.87,42.0,88.0
22,$GPRMC,111022.0,A,2240.7772,N,7552.9714,E,0.11,196.87,42.0,88.0
23,$GPRMC,111023.0,A,2240.7772,N,7552.9713,E,0.08,196.87,42.0,88.0
24,$GPRMC,111024.0,A,2240.7772,N,7552.9713,E,0.04,196.87,42.0,88.0
25,$GPRMC,111025.0,A,2240.7772,N,7552.9713,E,0.32,196.87,42.0,88.0
26,$GPRMC,111026.0,A,2240.7773,N,7552.9713,E,0.09,196.87,42.0,88.0
27,$GPRMC,111027.0,A,2240.7773,N,7552.9713,E,0.34,196.87,42.0,88.0
28,$GPRMC,111028.0,A,2240.7773,N,7552.9713,E,0.11,196.87,42.0,88.0
29,$GPRMC,111029.0,A,2240.7773,N,7552.9713,E,0.07,196.87,42.0,88.0
30,$GPRMC,111030.0,A,2240.7773,N,7552.9712,E,0.03,196.87,42.0,88.0
31,$GPRMC,111800.0,A,2240.7743,N,7552.9714,E,0.14,196.87,42.0,88.0
32,$GPRMC,111801.0,A,2240.7744,N,7552.9711,E,0.16,196.87,42.0,88.0
33,$GPRMC,111802.0,A,2240.7744,N,7552.9709,E,0.03,196.87,42.0,88.0
34,$GPRMC,111803.0,A,2240.7744,N,7552.9709,E,0.16,196.87,42.0,88.0
35,$GPRMC,111924.0,A,2240.7792,N,7552.9678,E,0.0,196.87,42.0,88.0
36,$GPRMC,111925.0,A,2240.7792,N,7552.9678,E,0.0,196.87,42.0,88.0
37,$GPRMC,111926.0,A,2240.7792,N,7552.9678,E,0.0,196.87,42.0,88.0
38,$GPRMC,111927.0,A,2240.7792,N,7552.9678,E,0.0,196.87,42.0,88.0
